,quiz.sport.q1.question,quiz.sport.q1.options,quiz.sport.q1.answer,quiz.maths.q1.question,quiz.maths.q1.options,quiz.maths.q1.answer,quiz.maths.q2.question,quiz.maths.q2.options,quiz.maths.q2.answer
0,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,1,4
1,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,2,4
2,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,3,4
3,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,4,4
4,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,1,4
5,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,2,4
6,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,3,4
7,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,4,4
8,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,1,4
9,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,2,4
10,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,3,4
11,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,12,12,12 - 8 = ?,4,4
12,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,1,4
13,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,2,4
14,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,3,4
15,Which one is correct team name in NBA?,New York Bulls,Huston Rocket,5 + 7 = ?,13,12,12 - 8 = ?,4,4
16,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,1,4
17,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,2,4
18,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,3,4
19,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,10,12,12 - 8 = ?,4,4
20,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,1,4
21,Which one is correct team name in NBA?,Los Angeles Kings,Huston Rocket,5 + 7 = ?,11,12,12 - 8 = ?,2,4
