,quiz/sport/q1/question,quiz/sport/q1/answer,quiz/maths/q1/question,quiz/maths/q1/answer,quiz/maths/q2/question,quiz/maths/q2/answer,quiz/sport/q1/options,quiz/maths/q1/options,quiz/maths/q2/options
0,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,10,1
1,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,10,2
2,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,10,3
3,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,10,4
4,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,11,1
5,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,11,2
6,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,11,3
7,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,11,4
8,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,12,1
9,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,12,2
10,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,12,3
11,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,12,4
12,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,13,1
13,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,13,2
14,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,13,3
15,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,New York Bulls,13,4
16,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,10,1
17,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,10,2
18,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,10,3
19,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,10,4
20,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,11,1
21,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,11,2
22,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,11,3
23,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,11,4
24,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,12,1
25,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,12,2
26,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,12,3
27,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,12,4
28,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,13,1
29,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,13,2
30,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,13,3
31,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Los Angeles Kings,13,4
32,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,10,1
33,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,10,2
34,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,10,3
35,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,10,4
36,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,11,1
37,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,11,2
38,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,11,3
39,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,11,4
40,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,12,1
41,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,12,2
42,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,12,3
43,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,12,4
44,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,13,1
45,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,13,2
46,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,13,3
47,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Golden State Warriros,13,4
48,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,10,1
49,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,10,2
50,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,10,3
51,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,10,4
52,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,11,1
53,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,11,2
54,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,11,3
55,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,11,4
56,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,12,1
57,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,12,2
58,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,12,3
59,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,12,4
60,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,13,1
61,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,13,2
62,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,13,3
63,Which one is correct team name in NBA?,Huston Rocket,5 + 7 = ?,12,12 - 8 = ?,4,Huston Rocket,13,4
